dataset,pruning_id,selection,condition,mean,std,min,max,count
BMD,s0.b0.h0,harmful,noise,-0.001834,0.037378,-0.069228,0.054036,10
BMD,s0.b0.h0,harmful,removed,-0.058268,,-0.058268,-0.058268,1
BMD,s0.b0.h0,harmful,shuffled,-0.053331,0.018118,-0.084961,-0.031142,10
BMD,s0.b1.h0,helpful,noise,0.007660,0.036076,-0.048611,0.066840,10
BMD,s0.b1.h0,helpful,removed,0.026475,,0.026475,0.026475,1
BMD,s0.b1.h0,helpful,shuffled,0.012674,0.010643,-0.002821,0.026258,10
BMD,s0.b1.h1,helpful,noise,0.000629,0.023071,-0.040799,0.037326,10
BMD,s0.b1.h1,helpful,removed,0.073785,,0.073785,0.073785,1
BMD,s0.b1.h1,helpful,shuffled,0.070323,0.016537,0.040473,0.095052,10
BMD,s1.b0.h5,harmful,noise,0.001237,0.035530,-0.072049,0.045247,10
BMD,s1.b0.h5,harmful,removed,-0.051433,,-0.051433,-0.051433,1
BMD,s1.b0.h5,harmful,shuffled,-0.053906,0.031107,-0.096463,-0.000326,10
BMD,s1.b1.h7,harmful,noise,-0.011708,0.017171,-0.041016,0.020508,10
BMD,s1.b1.h7,harmful,removed,-0.046984,,-0.046984,-0.046984,1
BMD,s1.b1.h7,harmful,shuffled,-0.021712,0.012815,-0.040690,-0.002279,10
BMD,s2.b1.h10,helpful,noise,0.006923,0.015879,-0.008030,0.036133,10
BMD,s2.b1.h10,helpful,removed,0.031033,,0.031033,0.031033,1
BMD,s2.b1.h10,helpful,shuffled,0.021474,0.007490,0.012153,0.031467,10
CinC,s1.b0.h2,helpful,noise,-0.002444,0.005114,-0.011577,0.004555,10
CinC,s1.b0.h2,helpful,removed,0.010607,,0.010607,0.010607,1
CinC,s1.b0.h2,helpful,shuffled,0.005698,0.003367,-0.001182,0.010673,10
CinC,s2.b0.h4,helpful,noise,0.002114,0.004002,-0.005883,0.007687,10
CinC,s2.b0.h4,helpful,removed,0.011242,,0.011242,0.011242,1
CinC,s2.b0.h4,helpful,shuffled,0.004539,0.004734,-0.006234,0.010906,10
CinC,s2.b4.h3,harmful,noise,-0.006681,0.005246,-0.016300,0.000205,10
CinC,s2.b4.h3,harmful,removed,-0.017096,,-0.017096,-0.017096,1
CinC,s2.b4.h3,harmful,shuffled,-0.019325,0.002455,-0.022512,-0.014431,10
CinC,s2.b5.h15,harmful,noise,-0.003652,0.003668,-0.010694,0.002212,10
CinC,s2.b5.h15,harmful,removed,-0.014271,,-0.014271,-0.014271,1
CinC,s2.b5.h15,harmful,shuffled,-0.013696,0.003786,-0.018519,-0.007351,10
CinC,s2.b5.h8,helpful,noise,-0.000818,0.007401,-0.018381,0.010913,10
CinC,s2.b5.h8,helpful,removed,0.010490,,0.010490,0.010490,1
CinC,s2.b5.h8,helpful,shuffled,0.004650,0.003972,-0.001109,0.009424,10
CinC,s3.b0.h4,harmful,noise,-0.003783,0.007259,-0.013475,0.011724,10
CinC,s3.b0.h4,harmful,removed,-0.014358,,-0.014358,-0.014358,1
CinC,s3.b0.h4,harmful,shuffled,-0.004424,0.003126,-0.010292,0.000438,10
CirCor,s0.b1.h0,helpful,noise,-0.007421,0.012669,-0.025380,0.015935,10
CirCor,s0.b1.h0,helpful,removed,0.018959,,0.018959,0.018959,1
CirCor,s0.b1.h0,helpful,shuffled,0.013458,0.007746,-0.000200,0.026851,10
CirCor,s0.b1.h3,helpful,noise,-0.011351,0.011136,-0.031642,0.001671,10
CirCor,s0.b1.h3,helpful,removed,0.013772,,0.013772,0.013772,1
CirCor,s0.b1.h3,helpful,shuffled,0.012807,0.006735,0.002570,0.022905,10
CirCor,s2.b2.h13,harmful,noise,-0.010726,0.010364,-0.025717,0.003695,10
CirCor,s2.b2.h13,harmful,removed,-0.030624,,-0.030624,-0.030624,1
CirCor,s2.b2.h13,harmful,shuffled,-0.019450,0.004773,-0.027163,-0.011427,10
CirCor,s2.b2.h15,harmful,noise,-0.007448,0.007587,-0.025444,-0.000074,10
CirCor,s2.b2.h15,harmful,removed,-0.027365,,-0.027365,-0.027365,1
CirCor,s2.b2.h15,harmful,shuffled,-0.023786,0.004376,-0.031427,-0.016874,10
CirCor,s2.b2.h9,harmful,noise,-0.004581,0.007045,-0.016536,0.006224,10
CirCor,s2.b2.h9,harmful,removed,-0.025627,,-0.025627,-0.025627,1
CirCor,s2.b2.h9,harmful,shuffled,-0.014407,0.004143,-0.021183,-0.009730,10
CirCor,s2.b5.h2,helpful,noise,-0.005144,0.009168,-0.018831,0.009434,10
CirCor,s2.b5.h2,helpful,removed,0.017680,,0.017680,0.017680,1
CirCor,s2.b5.h2,helpful,shuffled,0.010907,0.005035,-0.002603,0.015298,10
ICBHI,s0.b0.h0,helpful,noise,0.035311,0.052591,-0.059147,0.096558,10
ICBHI,s0.b0.h0,helpful,removed,0.100033,,0.100033,0.100033,1
ICBHI,s0.b0.h0,helpful,shuffled,0.107717,0.012385,0.100921,0.131707,10
ICBHI,s0.b0.h1,helpful,noise,0.016007,0.040984,-0.051713,0.060763,10
ICBHI,s0.b0.h1,helpful,removed,0.089609,,0.089609,0.089609,1
ICBHI,s0.b0.h1,helpful,shuffled,0.053717,0.021612,0.031351,0.087023,10
ICBHI,s0.b1.h1,harmful,noise,0.033743,0.039078,-0.003717,0.111183,10
ICBHI,s0.b1.h1,harmful,removed,-0.025452,,-0.025452,-0.025452,1
ICBHI,s0.b1.h1,harmful,shuffled,-0.023311,0.025649,-0.057046,0.005172,10
ICBHI,s1.b1.h3,harmful,noise,0.020629,0.032685,-0.031674,0.058824,10
ICBHI,s1.b1.h3,harmful,removed,-0.035391,,-0.035391,-0.035391,1
ICBHI,s1.b1.h3,harmful,shuffled,-0.040974,0.018016,-0.065287,-0.007434,10
ICBHI,s1.b1.h5,helpful,noise,0.047754,0.031304,0.000485,0.088963,10
ICBHI,s1.b1.h5,helpful,removed,0.088074,,0.088074,0.088074,1
ICBHI,s1.b1.h5,helpful,shuffled,0.083250,0.035760,0.001778,0.120071,10
ICBHI,s2.b4.h3,harmful,noise,0.013300,0.021507,-0.003717,0.052521,10
ICBHI,s2.b4.h3,harmful,removed,-0.028927,,-0.028927,-0.028927,1
ICBHI,s2.b4.h3,harmful,shuffled,-0.021097,0.011861,-0.030462,0.001939,10
KAUH,s1.b0.h7,harmful,noise,0.013815,0.025421,-0.027778,0.051852,10
KAUH,s1.b0.h7,harmful,removed,-0.024815,,-0.024815,-0.024815,1
KAUH,s1.b0.h7,harmful,shuffled,-0.004463,0.012129,-0.022222,0.012222,10
KAUH,s2.b0.h1,helpful,noise,0.013926,0.020082,-0.017407,0.046852,10
KAUH,s2.b0.h1,helpful,removed,0.044815,,0.044815,0.044815,1
KAUH,s2.b0.h1,helpful,shuffled,0.043741,0.012797,0.019630,0.066111,10
KAUH,s2.b1.h13,helpful,noise,0.005667,0.014697,-0.019074,0.027222,10
KAUH,s2.b1.h13,helpful,removed,0.046482,,0.046482,0.046482,1
KAUH,s2.b1.h13,helpful,shuffled,0.032852,0.008496,0.022222,0.043333,10
KAUH,s2.b2.h14,harmful,noise,0.014648,0.013185,-0.012592,0.033333,10
KAUH,s2.b2.h14,harmful,removed,-0.017963,,-0.017963,-0.017963,1
KAUH,s2.b2.h14,harmful,shuffled,0.000130,0.013572,-0.018889,0.015185,10
KAUH,s2.b2.h6,helpful,noise,0.014056,0.017218,-0.013148,0.042037,10
KAUH,s2.b2.h6,helpful,removed,0.041852,,0.041852,0.041852,1
KAUH,s2.b2.h6,helpful,shuffled,0.034871,0.006276,0.027778,0.045741,10
KAUH,s3.b1.h21,harmful,noise,-0.000500,0.012454,-0.020370,0.015926,10
KAUH,s3.b1.h21,harmful,removed,-0.021111,,-0.021111,-0.021111,1
KAUH,s3.b1.h21,harmful,shuffled,-0.008426,0.007729,-0.020741,-0.000741,10
SPRSound,s0.b0.h2,helpful,noise,0.003298,0.003627,-0.002424,0.010305,10
SPRSound,s0.b0.h2,helpful,removed,0.008868,,0.008868,0.008868,1
SPRSound,s0.b0.h2,helpful,shuffled,0.006923,0.000766,0.005889,0.008181,10
SPRSound,s0.b1.h1,harmful,noise,-0.005390,0.010843,-0.022028,0.013261,10
SPRSound,s0.b1.h1,harmful,removed,-0.015419,,-0.015419,-0.015419,1
SPRSound,s0.b1.h1,harmful,shuffled,-0.013576,0.003299,-0.018981,-0.007248,10
SPRSound,s1.b0.h3,harmful,noise,0.001085,0.004700,-0.007405,0.008395,10
SPRSound,s1.b0.h3,harmful,removed,-0.013813,,-0.013813,-0.013813,1
SPRSound,s1.b0.h3,harmful,shuffled,-0.011291,0.002311,-0.013964,-0.005743,10
SPRSound,s1.b0.h7,harmful,noise,-0.003803,0.002962,-0.006877,0.002866,10
SPRSound,s1.b0.h7,harmful,removed,-0.009385,,-0.009385,-0.009385,1
SPRSound,s1.b0.h7,harmful,shuffled,-0.010715,0.003416,-0.015661,-0.005334,10
SPRSound,s2.b0.h10,helpful,noise,0.003941,0.003592,-0.003258,0.007814,10
SPRSound,s2.b0.h10,helpful,removed,0.009154,,0.009154,0.009154,1
SPRSound,s2.b0.h10,helpful,shuffled,0.007104,0.002889,0.000832,0.011295,10
SPRSound,s2.b5.h10,helpful,noise,0.002366,0.003492,-0.002361,0.008365,10
SPRSound,s2.b5.h10,helpful,removed,0.009720,,0.009720,0.009720,1
SPRSound,s2.b5.h10,helpful,shuffled,0.006347,0.001589,0.004572,0.009627,10
ZCHSound,s0.b0.h0,helpful,noise,0.004949,0.017791,-0.020246,0.025793,10
ZCHSound,s0.b0.h0,helpful,removed,0.023446,,0.023446,0.023446,1
ZCHSound,s0.b0.h0,helpful,shuffled,0.027589,0.007679,0.016615,0.043809,10
ZCHSound,s0.b1.h2,helpful,noise,0.008401,0.006051,0.000164,0.019745,10
ZCHSound,s0.b1.h2,helpful,removed,0.022302,,0.022302,0.022302,1
