pruning_index,pruning_id,stage,block,mean,std,worst,best,n
19,s1.b1.h3,1,1,-0.007133,0.018635,-0.035391,0.018028,7
13,s1.b0.h5,1,0,-0.006167,0.027197,-0.051433,0.039351,7
14,s1.b0.h6,1,0,-0.005975,0.009169,-0.019097,0.003232,7
138,s3.b0.h18,3,0,-0.005501,0.006841,-0.015974,0.004651,7
10,s1.b0.h2,1,0,-0.005307,0.015080,-0.021251,0.016020,7
74,s2.b3.h2,2,3,-0.004563,0.012154,-0.028863,0.007238,7
95,s2.b4.h7,2,4,-0.003661,0.005312,-0.010741,0.005336,7
15,s1.b0.h7,1,0,-0.003302,0.020898,-0.024815,0.034422,7
73,s2.b3.h1,2,3,-0.003014,0.009419,-0.014198,0.012778,7
33,s2.b0.h9,2,0,-0.002944,0.008936,-0.013561,0.006944,7
84,s2.b3.h12,2,3,-0.002559,0.011188,-0.015625,0.014175,7
153,s3.b1.h1,3,1,-0.002488,0.005586,-0.008657,0.006755,7
121,s3.b0.h1,3,0,-0.002460,0.007353,-0.015741,0.006441,7
178,s3.b1.h26,3,1,-0.002447,0.006485,-0.015185,0.003689,7
176,s3.b1.h24,3,1,-0.002396,0.006370,-0.016276,0.001532,7
46,s2.b1.h6,2,1,-0.002349,0.013240,-0.021919,0.018704,7
119,s2.b5.h15,2,5,-0.002338,0.006805,-0.014271,0.005903,7
174,s3.b1.h22,3,1,-0.002247,0.005710,-0.012147,0.006069,7
8,s1.b0.h0,1,0,-0.002098,0.008347,-0.019364,0.003394,7
48,s2.b1.h8,2,1,-0.002071,0.011086,-0.025608,0.008148,7
51,s2.b1.h11,2,1,-0.002065,0.006099,-0.011285,0.007525,7
180,s3.b1.h28,3,1,-0.002041,0.005408,-0.011514,0.004035,7
22,s1.b1.h6,1,1,-0.002035,0.007721,-0.015370,0.009874,7
45,s2.b1.h5,2,1,-0.001908,0.004678,-0.010000,0.002655,7
85,s2.b3.h13,2,3,-0.001700,0.005677,-0.012242,0.004666,7
32,s2.b0.h8,2,0,-0.001478,0.008631,-0.017361,0.007240,7
168,s3.b1.h16,3,1,-0.001384,0.004544,-0.006945,0.005009,7
172,s3.b1.h20,3,1,-0.001230,0.002784,-0.005209,0.003256,7
124,s3.b0.h4,3,0,-0.001228,0.008978,-0.014358,0.007905,7
122,s3.b0.h2,3,0,-0.001213,0.017822,-0.031033,0.028846,7
139,s3.b0.h19,3,0,-0.001063,0.005624,-0.009306,0.006111,7
113,s2.b5.h9,2,5,-0.001028,0.007231,-0.012804,0.007566,7
175,s3.b1.h23,3,1,-0.001028,0.002630,-0.004917,0.001764,7
106,s2.b5.h2,2,5,-0.000864,0.013404,-0.022570,0.017680,7
79,s2.b3.h7,2,3,-0.000845,0.012244,-0.011716,0.024725,7
88,s2.b4.h0,2,4,-0.000782,0.009580,-0.010887,0.015926,7
183,s3.b1.h31,3,1,-0.000765,0.004832,-0.005317,0.008519,7
31,s2.b0.h7,2,0,-0.000746,0.018679,-0.034071,0.026503,7
59,s2.b2.h3,2,2,-0.000701,0.007920,-0.008940,0.012222,7
24,s2.b0.h0,2,0,-0.000662,0.007799,-0.008333,0.012552,7
118,s2.b5.h14,2,5,-0.000613,0.005053,-0.010444,0.005926,7
137,s3.b0.h17,3,0,-0.000605,0.005233,-0.011090,0.004123,7
182,s3.b1.h30,3,1,-0.000570,0.003587,-0.005907,0.004636,7
145,s3.b0.h25,3,0,-0.000553,0.005006,-0.008464,0.006305,7
109,s2.b5.h5,2,5,-0.000505,0.009713,-0.016385,0.008103,7
117,s2.b5.h13,2,5,-0.000494,0.014219,-0.016296,0.028523,7
87,s2.b3.h15,2,3,-0.000481,0.026462,-0.046984,0.031482,7
110,s2.b5.h6,2,5,-0.000476,0.003568,-0.007179,0.003492,7
65,s2.b2.h9,2,2,-0.000469,0.017749,-0.025627,0.029412,7
86,s2.b3.h14,2,3,-0.000452,0.002164,-0.002977,0.001739,7
148,s3.b0.h28,3,0,-0.000449,0.004157,-0.006431,0.005208,7
23,s1.b1.h7,1,1,-0.000393,0.022864,-0.046984,0.027796,7
167,s3.b1.h15,3,1,-0.000346,0.006239,-0.006789,0.010000,7
27,s2.b0.h3,2,0,-0.000239,0.003424,-0.004775,0.005898,7
108,s2.b5.h4,2,5,-0.000069,0.004979,-0.008908,0.005036,7
170,s3.b1.h18,3,1,-0.000019,0.005359,-0.010939,0.003898,7
35,s2.b0.h11,2,0,-0.000005,0.013492,-0.013148,0.025372,7
157,s3.b1.h5,3,1,0.000015,0.003313,-0.003472,0.004903,7
130,s3.b0.h10,3,0,0.000064,0.013568,-0.015926,0.026180,7
131,s3.b0.h11,3,0,0.000133,0.011359,-0.015142,0.019074,7
165,s3.b1.h13,3,1,0.000166,0.001829,-0.002930,0.002639,7
6,s0.b1.h2,0,1,0.000300,0.015352,-0.025210,0.022302,7
144,s3.b0.h24,3,0,0.000310,0.006645,-0.008464,0.010926,7
146,s3.b0.h26,3,0,0.000388,0.001700,-0.001302,0.002727,7
155,s3.b1.h3,3,1,0.000445,0.003917,-0.007778,0.004447,7
162,s3.b1.h10,3,1,0.000460,0.002787,-0.003148,0.004225,7
91,s2.b4.h3,2,4,0.000502,0.016674,-0.028927,0.012872,7
69,s2.b2.h13,2,2,0.000511,0.018247,-0.030624,0.024848,7
169,s3.b1.h17,3,1,0.000514,0.005466,-0.006973,0.007724,7
135,s3.b0.h15,3,0,0.000670,0.006202,-0.006945,0.007963,7
36,s2.b0.h12,2,0,0.000710,0.005806,-0.004987,0.010091,7
89,s2.b4.h1,2,4,0.000756,0.009726,-0.017592,0.012233,7
156,s3.b1.h4,3,1,0.000756,0.003131,-0.002909,0.005185,7
163,s3.b1.h11,3,1,0.000819,0.012518,-0.012153,0.026665,7
39,s2.b0.h15,2,0,0.000845,0.021328,-0.039497,0.030462,7
98,s2.b4.h10,2,4,0.000972,0.012176,-0.013313,0.023519,7
104,s2.b5.h0,2,5,0.001000,0.014715,-0.021170,0.027634,7
166,s3.b1.h14,3,1,0.001003,0.007794,-0.013130,0.009445,7
11,s1.b0.h3,1,0,0.001028,0.016432,-0.013813,0.034664,7
179,s3.b1.h27,3,1,0.001213,0.002627,-0.002511,0.004340,7
102,s2.b4.h14,2,4,0.001310,0.012821,-0.009983,0.028442,7
143,s3.b0.h23,3,0,0.001341,0.026298,-0.023580,0.058501,7
173,s3.b1.h21,3,1,0.001493,0.014492,-0.021111,0.027796,7
71,s2.b2.h15,2,2,0.001557,0.015383,-0.027365,0.025210,7
132,s3.b0.h12,3,0,0.001564,0.003381,-0.003333,0.006461,7
159,s3.b1.h7,3,1,0.001581,0.002758,-0.002179,0.005914,7
105,s2.b5.h1,2,5,0.001710,0.012637,-0.009444,0.028362,7
34,s2.b0.h10,2,0,0.001711,0.004258,-0.002394,0.009154,7
41,s2.b1.h1,2,1,0.001726,0.014102,-0.017696,0.029170,7
90,s2.b4.h2,2,4,0.001745,0.009064,-0.006481,0.018771,7
107,s2.b5.h3,2,5,0.001774,0.004352,-0.002407,0.007367,7
129,s3.b0.h9,3,0,0.001780,0.011946,-0.020291,0.018333,7
12,s1.b0.h4,1,0,0.001902,0.014878,-0.013625,0.032222,7
114,s2.b5.h10,2,5,0.001952,0.006174,-0.009444,0.009720,7
38,s2.b0.h14,2,0,0.002019,0.012646,-0.014473,0.025371,7
96,s2.b4.h8,2,4,0.002024,0.005390,-0.006294,0.009630,7
134,s3.b0.h14,3,0,0.002177,0.012242,-0.012592,0.026907,7
40,s2.b1.h0,2,1,0.002253,0.008698,-0.006768,0.020371,7
99,s2.b4.h11,2,4,0.002296,0.016477,-0.016710,0.034987,7
177,s3.b1.h25,3,1,0.002315,0.006429,-0.007584,0.011482,7
127,s3.b0.h7,3,0,0.002482,0.002081,0.000329,0.006510,7
136,s3.b0.h16,3,0,0.002506,0.014101,-0.019206,0.027958,7
83,s2.b3.h11,2,3,0.002608,0.012897,-0.015502,0.026988,7
77,s2.b3.h5,2,3,0.002647,0.012862,-0.012696,0.027392,7
66,s2.b2.h10,2,2,0.002667,0.010621,-0.012076,0.021574,7
123,s3.b0.h3,3,0,0.002717,0.011994,-0.007063,0.028685,7
17,s1.b1.h1,1,1,0.002741,0.006992,-0.008291,0.012408,7
101,s2.b4.h13,2,4,0.002750,0.011607,-0.011481,0.025776,7
100,s2.b4.h12,2,4,0.002750,0.005560,-0.004226,0.011482,7
149,s3.b0.h29,3,0,0.002781,0.004788,-0.003029,0.011667,7
28,s2.b0.h4,2,0,0.003022,0.005196,-0.004371,0.011242,7
81,s2.b3.h9,2,3,0.003109,0.006945,-0.003844,0.014865,7
3,s0.b0.h3,0,0,0.003129,0.004846,-0.002738,0.009765,7
76,s2.b3.h4,2,3,0.003233,0.012543,-0.005534,0.030947,7
78,s2.b3.h6,2,3,0.003319,0.013464,-0.010851,0.028846,7
2,s0.b0.h2,0,0,0.003381,0.015042,-0.014737,0.028281,7
72,s2.b3.h0,2,3,0.003469,0.012854,-0.011427,0.028523,7
154,s3.b1.h2,3,1,0.003527,0.010682,-0.004133,0.027230,7
80,s2.b3.h8,2,3,0.003549,0.024558,-0.019097,0.055268,7
49,s2.b1.h9,2,1,0.003607,0.010707,-0.009606,0.024887,7
30,s2.b0.h6,2,0,0.003610,0.004741,-0.002409,0.011852,7
160,s3.b1.h8,3,1,0.003760,0.011745,-0.009409,0.027958,7
128,s3.b0.h8,3,0,0.003898,0.005739,-0.006599,0.012222,7
133,s3.b0.h13,3,0,0.003989,0.012865,-0.011667,0.030705,7
44,s2.b1.h4,2,1,0.004027,0.011669,-0.007012,0.028685,7
47,s2.b1.h7,2,1,0.004059,0.016235,-0.008104,0.040185,7
158,s3.b1.h6,3,1,0.004060,0.014197,-0.006029,0.029331,7
141,s3.b0.h21,3,0,0.004156,0.010104,-0.004629,0.025372,7
63,s2.b2.h7,2,2,0.004227,0.020276,-0.020400,0.031482,7
67,s2.b2.h11,2,2,0.004227,0.017548,-0.025608,0.026111,7
181,s3.b1.h29,3,1,0.004333,0.011568,-0.009636,0.027634,7
54,s2.b1.h14,2,1,0.004461,0.011508,-0.005489,0.028889,7
151,s3.b0.h31,3,0,0.004467,0.010669,-0.006318,0.026099,7
126,s3.b0.h6,3,0,0.004798,0.010789,-0.004815,0.027554,7
70,s2.b2.h14,2,2,0.004865,0.012769,-0.017963,0.024968,7
82,s2.b3.h10,2,3,0.004873,0.003718,0.000686,0.011111,7
161,s3.b1.h9,3,1,0.005076,0.010159,-0.000977,0.027796,7
150,s3.b0.h30,3,0,0.005286,0.010140,-0.005613,0.025372,7
142,s3.b0.h22,3,0,0.005405,0.010604,-0.002471,0.028038,7
120,s3.b0.h0,3,0,0.005428,0.011054,-0.002497,0.029654,7
147,s3.b0.h27,3,0,0.005493,0.009472,-0.000109,0.026584,7
