pruning_id,stage,block,head,head_size,n_params,w_norm,w_norm_qkv,w_norm_out,w_rms,w_kurtosis,w_participation,w_max_over_rms,ov_spectral,medical_contrib_rms,medical_ctx_rms,medical_share,general_contrib_rms,general_ctx_rms,general_share,generality,contrib_ratio
s0.b0.h0,0,0,0,24,9216,5.92529,5.61021,1.90645,0.0617217,8.69297,0.0855995,10.2641,0.904809,0.960916,1.70276,0.409531,0.9811,1.72784,0.420852,0.011321,0.0299903
s0.b0.h1,0,0,1,24,9216,10.31,10.1543,1.78502,0.107396,2.9635,0.167649,5.2479,0.3696,0.924698,1.65747,0.373132,0.884619,1.61824,0.342149,-0.0309833,-0.0639265
s0.b0.h2,0,0,2,24,9216,5.44705,5.39,0.786296,0.0567401,5.62224,0.115972,6.67927,0.174823,0.160317,0.526323,0.0141939,0.21449,0.617365,0.0201148,0.00592094,0.41998
s0.b0.h3,0,0,3,24,9216,10.4053,10.2437,1.82657,0.108389,4.60315,0.13157,6.33421,0.544069,0.679138,1.35513,0.203143,0.704307,1.39353,0.216884,0.013741,0.0524988
s0.b1.h0,0,1,0,24,9216,5.88488,5.52305,2.0317,0.0613009,0.891843,0.257023,4.35595,0.300208,0.590815,1.36078,0.0762661,0.60291,1.38433,0.071159,-0.00510714,0.0292359
s0.b1.h1,0,1,1,24,9216,5.9793,5.65035,1.9559,0.0622843,2.15753,0.193915,6.89821,0.440944,1.1567,2.11837,0.291859,1.23781,2.22424,0.299939,0.00808014,0.0977787
s0.b1.h2,0,1,2,24,9216,4.78489,4.30707,2.08429,0.0498426,0.551512,0.281617,5.73247,0.413918,1.31166,2.32114,0.37635,1.34608,2.37993,0.354702,-0.0216483,0.0373704
s0.b1.h3,0,1,3,24,9216,5.85311,5.54464,1.87505,0.0609699,1.41978,0.226345,4.47844,0.34761,1.08384,2.08988,0.255525,1.18351,2.23836,0.2742,0.0186753,0.126922
s1.b0.h0,1,0,0,24,18432,7.2128,6.69818,2.6756,0.0531273,1.26999,0.234189,5.70169,0.539235,0.994893,1.5609,0.0935773,0.970296,1.5056,0.0853224,-0.00825489,-0.0361158
s1.b0.h1,1,0,1,24,18432,7.46411,6.96755,2.67697,0.0549783,0.592861,0.278325,4.80644,0.577505,0.897132,1.44199,0.0761748,0.857909,1.36105,0.0667017,-0.00947314,-0.0644954
s1.b0.h2,1,0,2,24,18432,6.56519,5.99019,2.68689,0.0483572,0.324098,0.300826,4.63068,0.613799,1.4724,2.07619,0.20604,1.39891,1.98826,0.177352,-0.0286879,-0.0738679
s1.b0.h3,1,0,3,24,18432,5.72483,5.16038,2.47875,0.0421674,0.426585,0.29193,5.37695,0.559679,0.953387,1.49509,0.0873582,1.12714,1.7536,0.115135,0.0277768,0.241533
s1.b0.h4,1,0,4,24,18432,6.17396,5.63986,2.51192,0.0454755,0.752845,0.266463,5.34305,0.632829,0.740744,1.29688,0.0519086,0.782903,1.3619,0.0555482,0.00363956,0.0798588
s1.b0.h5,1,0,5,24,18432,6.85547,6.26681,2.77931,0.0504953,0.287735,0.304163,4.96146,0.653211,1.56655,2.16625,0.233754,1.53281,2.1378,0.212928,-0.0208261,-0.0314146
s1.b0.h6,1,0,6,24,18432,7.19127,6.69673,2.62073,0.0529687,1.89577,0.204448,8.02876,0.496967,0.991431,1.5817,0.0928241,0.989984,1.57066,0.08882,-0.0040041,-0.00210716
s1.b0.h7,1,0,7,24,18432,6.32021,5.60171,2.92675,0.0465527,0.0804329,0.324616,3.92123,0.699418,1.28472,1.86281,0.158363,1.47883,2.08362,0.198193,0.0398303,0.203002
s1.b1.h0,1,1,0,24,18432,6.51833,5.88734,2.79783,0.048012,0.838821,0.260556,5.88796,0.523601,0.924797,1.51957,0.107738,0.809926,1.34802,0.079195,-0.0285434,-0.191347
s1.b1.h1,1,1,1,24,18432,6.41552,5.8112,2.71823,0.0472547,0.319337,0.301198,5.06736,0.659615,1.19247,1.88366,0.179998,1.27563,2.00678,0.196451,0.0164533,0.0972621
s1.b1.h2,1,1,2,24,18432,6.24574,5.70505,2.54197,0.0460042,0.372997,0.29647,4.92119,0.468065,1.06218,1.83599,0.142229,1.08552,1.81294,0.14226,3.1e-05,0.0313545
s1.b1.h3,1,1,3,24,18432,7.59446,7.1798,2.47514,0.0559385,2.84104,0.171257,7.43237,0.502167,1.00609,1.8406,0.127488,0.965942,1.74326,0.112644,-0.0148439,-0.058745
s1.b1.h4,1,1,4,24,18432,7.02837,6.57443,2.48493,0.0517689,1.05907,0.246419,5.46749,0.474051,0.726792,1.30914,0.0664097,0.802602,1.40576,0.0777693,0.0113596,0.143142
s1.b1.h5,1,1,5,24,18432,5.19358,4.47569,2.63467,0.0382543,0.252729,0.307443,4.98098,0.870448,1.01669,1.50894,0.130757,1.07775,1.63159,0.14023,0.00947271,0.0841395
s1.b1.h6,1,1,6,24,18432,5.99893,5.27795,2.8514,0.0441863,0.346951,0.298787,5.51645,0.695401,1.15,1.79114,0.166353,1.25988,1.93504,0.191632,0.0252794,0.131657
s1.b1.h7,1,1,7,24,18432,7.1533,6.69462,2.52027,0.0526891,1.26454,0.234508,6.46931,0.569846,0.792619,1.40624,0.0790284,0.703902,1.24033,0.0598179,-0.0192105,-0.171253
s2.b0.h0,2,0,0,24,36864,8.82481,8.1414,3.40512,0.0459626,0.991561,0.250523,5.86569,0.808585,1.02181,1.37443,0.0545363,0.918331,1.16473,0.040397,-0.0141393,-0.154042
s2.b0.h1,2,0,1,24,36864,8.72839,7.89396,3.72428,0.0454604,0.342691,0.29916,4.44836,0.928061,1.3988,1.68816,0.102317,1.39281,1.63442,0.0929252,-0.00939189,-0.00618829
s2.b0.h2,2,0,2,24,36864,10.3533,9.71414,3.58138,0.0539234,1.02065,0.248714,5.11508,0.887067,1.01948,1.29116,0.0546937,0.985435,1.26313,0.0465164,-0.00817733,-0.0489992
s2.b0.h3,2,0,3,24,36864,8.79757,8.23661,3.09119,0.0458207,1.37785,0.228427,5.99851,0.633272,0.597067,0.916042,0.0186413,0.65433,0.949392,0.020509,0.00186773,0.132127
s2.b0.h4,2,0,4,24,36864,8.41387,7.58591,3.63965,0.0438222,0.398287,0.294276,4.96112,1.34103,0.793126,0.92749,0.0334208,1.1297,1.28277,0.0611333,0.0277125,0.510318
s2.b0.h5,2,0,5,24,36864,10.4465,9.78144,3.66768,0.0544086,1.52153,0.221165,6.01976,0.916426,2.2398,2.50653,0.261834,1.95706,2.20223,0.183468,-0.0783657,-0.194684
s2.b0.h6,2,0,6,24,36864,8.66035,7.98926,3.34265,0.045106,1.48897,0.222879,6.76452,0.742292,0.954348,1.21787,0.0476532,1.04023,1.32849,0.0518331,0.00417989,0.124315
s2.b0.h7,2,0,7,24,36864,7.41607,6.70642,3.16575,0.0386254,0.678431,0.271861,5.58376,1.16768,0.528331,0.738012,0.0146026,0.627942,0.869971,0.0188881,0.00428554,0.249189
s2.b0.h8,2,0,8,24,36864,11.4916,10.9476,3.49397,0.0598521,1.31455,0.231774,5.28908,0.811265,0.550614,0.740033,0.0160373,0.651862,0.875944,0.0203545,0.00431721,0.243526
s2.b0.h9,2,0,9,24,36864,8.28433,7.39781,3.72861,0.0431475,0.18055,0.31442,4.51418,0.864178,1.44426,1.69943,0.109089,1.48979,1.7597,0.106316,-0.00277287,0.0447799
s2.b0.h10,2,0,10,24,36864,8.26498,7.5837,3.28595,0.0430468,0.668928,0.272548,5.44045,1.09435,0.612636,0.838679,0.0196863,0.844681,1.08113,0.0341772,0.0144909,0.463377
s2.b0.h11,2,0,11,24,36864,9.45739,8.85913,3.31031,0.0492572,1.4868,0.222881,7.17266,0.687041,0.599162,0.882655,0.0188775,0.898383,1.14688,0.0386611,0.0197836,0.584385
s2.b0.h12,2,0,12,24,36864,8.56686,7.98248,3.10982,0.044619,1.63307,0.215827,6.44469,0.693751,0.641331,0.951015,0.0216438,0.6631,0.932845,0.0210624,-0.000581429,0.048158
s2.b0.h13,2,0,13,24,36864,7.57744,6.71924,3.50275,0.0394658,0.487639,0.286721,6.22959,1.55301,0.900287,0.994642,0.0427291,1.26573,1.3011,0.0767424,0.0340133,0.491513
s2.b0.h14,2,0,14,24,36864,8.22092,7.32006,3.74168,0.0428173,0.196163,0.312877,4.84237,0.983801,1.2255,1.46144,0.0787335,1.42426,1.63685,0.0971695,0.018436,0.216839
s2.b0.h15,2,0,15,24,36864,8.37956,7.56273,3.60863,0.0436436,0.306255,0.302464,4.96411,0.919731,1.42007,1.69388,0.105505,1.36955,1.614,0.089847,-0.0156576,-0.0522572
s2.b1.h0,2,1,0,24,36864,9.07071,8.39176,3.44329,0.0472433,0.542063,0.28232,5.18679,0.803482,1.02826,1.27028,0.0579957,1.1634,1.43544,0.0630108,0.00501509,0.178138
s2.b1.h1,2,1,1,24,36864,9.25669,8.69128,3.18558,0.0482119,1.73769,0.211099,8.60513,0.686139,1.00861,1.42305,0.0557673,0.952495,1.36349,0.0422362,-0.0135311,-0.0825868
s2.b1.h2,2,1,2,24,36864,10.0665,9.47332,3.40439,0.0524295,0.820789,0.261731,5.2195,0.787305,0.686253,0.952434,0.0260092,0.694995,0.958867,0.0224865,-0.00352267,0.018262
s2.b1.h3,2,1,3,24,36864,8.97938,8.42808,3.09786,0.0467676,1.17945,0.239251,6.80951,0.68432,0.681656,1.00336,0.0258026,0.703841,1.01252,0.0230626,-0.00273999,0.0462066
s2.b1.h4,2,1,4,24,36864,8.6082,7.98684,3.21115,0.0448344,0.719744,0.268828,5.13423,0.957162,0.693258,0.982835,0.0263968,0.957274,1.33751,0.0426611,0.0162643,0.465539
s2.b1.h5,2,1,5,24,36864,9.2687,8.64357,3.34627,0.0482745,1.10094,0.243855,6.37163,0.826495,1.09995,1.49086,0.066199,1.04857,1.4014,0.0511864,-0.0150126,-0.0690185
s2.b1.h6,2,1,6,24,36864,9.2117,8.51613,3.51155,0.0479776,0.559073,0.280971,5.06266,0.981164,0.991239,1.30584,0.0537634,1.04102,1.29742,0.0504521,-0.00331131,0.0706923
s2.b1.h7,2,1,7,24,36864,8.1246,7.28271,3.60156,0.0423156,0.203649,0.312143,4.72297,0.971037,1.23672,1.53269,0.0842765,1.42058,1.70781,0.0939481,0.00967163,0.199965
s2.b1.h8,2,1,8,24,36864,10.2317,9.61925,3.48663,0.0532898,0.794581,0.263521,4.44447,0.782334,0.872875,1.1798,0.0419003,0.734546,1.01495,0.0251187,-0.0167816,-0.248922
s2.b1.h9,2,1,9,24,36864,7.6131,6.7968,3.42969,0.0396515,0.241243,0.308531,5.14109,1.3497,0.967091,1.06864,0.0514687,1.07345,1.22823,0.0536439,0.00217523,0.150532
