scope,property,rho,p_value,p_bonferroni,n_heads,significant_corrected
raw,generality,0.0181715,0.806588,1,184,False
raw,general_share,0.247853,0.000693294,0.00970612,184,True
raw,medical_share,0.225445,0.00209122,0.0292771,184,True
raw,contrib_ratio,-0.133216,0.0714251,0.999951,184,False
raw,general_contrib_rms,0.0808653,0.275175,1,184,False
raw,medical_contrib_rms,0.1505,0.0414304,0.580025,184,False
raw,w_norm,-0.108468,0.142747,1,184,False
raw,w_norm_qkv,-0.111464,0.131974,1,184,False
raw,w_norm_out,-0.0926027,0.211207,1,184,False
raw,w_rms,0.0594624,0.422669,1,184,False
raw,w_kurtosis,0.119368,0.106544,1,184,False
raw,w_participation,-0.119503,0.106146,1,184,False
raw,w_max_over_rms,-0.026137,0.7247,1,184,False
raw,ov_spectral,-0.0797037,0.282152,1,184,False
within_stage,generality,0.0224307,0.762477,1,184,False
within_stage,general_share,0.199796,0.00654471,0.0916259,184,False
within_stage,medical_share,0.171162,0.0201735,0.282429,184,False
within_stage,contrib_ratio,-0.0652752,0.378675,1,184,False
within_stage,general_contrib_rms,0.142527,0.053605,0.75047,184,False
within_stage,medical_contrib_rms,0.138913,0.0600276,0.840386,184,False
within_stage,w_norm,-0.0511125,0.490792,1,184,False
within_stage,w_norm_qkv,-0.0588507,0.427464,1,184,False
within_stage,w_norm_out,0.10062,0.174137,1,184,False
within_stage,w_rms,-0.051152,0.490457,1,184,False
within_stage,w_kurtosis,-0.0414864,0.576056,1,184,False
within_stage,w_participation,-0.0218489,0.768461,1,184,False
within_stage,w_max_over_rms,-0.018393,0.804277,1,184,False
within_stage,ov_spectral,0.0554584,0.454627,1,184,False
