dataset,scope,property,rho,p_value,auc,n_heads
BMD,raw,generality,0.0146401,0.843635,0.63,184
BMD,raw,general_share,0.0968461,0.190938,0.63,184
BMD,raw,medical_share,0.102099,0.167864,0.6125,184
BMD,raw,contrib_ratio,-0.0233815,0.752729,0.53,184
BMD,raw,general_contrib_rms,0.026957,0.716428,0.5175,184
BMD,raw,medical_contrib_rms,0.0700355,0.344815,0.57,184
BMD,raw,w_norm,-0.0384319,0.60449,0.4075,184
BMD,raw,w_norm_qkv,-0.0499194,0.500982,0.395,184
BMD,raw,w_norm_out,-0.00785996,0.915667,0.4225,184
BMD,raw,w_rms,-0.0365281,0.622522,0.56,184
BMD,raw,w_kurtosis,0.0524431,0.479559,0.5475,184
BMD,raw,w_participation,-0.0525837,0.47838,0.4525,184
BMD,raw,w_max_over_rms,-0.00179546,0.980702,0.5,184
BMD,raw,ov_spectral,-0.042542,0.566377,0.305,184
BMD,within_stage,generality,0.00683316,0.926651,0.625,184
BMD,within_stage,general_share,0.0864259,0.243399,0.54,184
BMD,within_stage,medical_share,0.0993929,0.179476,0.515,184
BMD,within_stage,contrib_ratio,-0.0252896,0.733283,0.57,184
BMD,within_stage,general_contrib_rms,0.0840823,0.256465,0.62,184
BMD,within_stage,medical_contrib_rms,0.122707,0.0970329,0.63,184
BMD,within_stage,w_norm,-0.119194,0.107058,0.3975,184
BMD,within_stage,w_norm_qkv,-0.117059,0.113536,0.4025,184
BMD,within_stage,w_norm_out,0.0691802,0.350753,0.65,184
BMD,within_stage,w_rms,-0.119125,0.107262,0.3975,184
BMD,within_stage,w_kurtosis,-0.0927023,0.210715,0.4125,184
BMD,within_stage,w_participation,0.0618201,0.404477,0.575,184
BMD,within_stage,w_max_over_rms,0.00660776,0.929064,0.4875,184
BMD,within_stage,ov_spectral,-0.0121473,0.870001,0.4275,184
CinC,raw,generality,0.0614728,0.407127,0.5675,184
CinC,raw,general_share,0.113042,0.126555,0.78,184
CinC,raw,medical_share,0.100967,0.172652,0.7675,184
CinC,raw,contrib_ratio,0.00438734,0.952867,0.52,184
CinC,raw,general_contrib_rms,-0.00223749,0.975952,0.57,184
CinC,raw,medical_contrib_rms,-0.0562571,0.448146,0.565,184
CinC,raw,w_norm,-0.0784153,0.290029,0.315,184
CinC,raw,w_norm_qkv,-0.0663176,0.371091,0.305,184
CinC,raw,w_norm_out,-0.0332725,0.65388,0.495,184
CinC,raw,w_rms,0.00400399,0.956981,0.5025,184
CinC,raw,w_kurtosis,-0.124564,0.092043,0.465,184
CinC,raw,w_participation,0.124625,0.0918809,0.535,184
CinC,raw,w_max_over_rms,-0.0819281,0.268894,0.405,184
CinC,raw,ov_spectral,-0.00308992,0.966795,0.585,184
CinC,within_stage,generality,0.0505001,0.496009,0.5675,184
CinC,within_stage,general_share,0.12864,0.0818057,0.69,184
CinC,within_stage,medical_share,0.0920676,0.213869,0.67,184
CinC,within_stage,contrib_ratio,0.0279383,0.706571,0.5025,184
CinC,within_stage,general_contrib_rms,0.0767172,0.300633,0.6675,184
CinC,within_stage,medical_contrib_rms,0.0625554,0.3989,0.61,184
CinC,within_stage,w_norm,-0.0299263,0.686754,0.46,184
CinC,within_stage,w_norm_qkv,-0.0344601,0.642367,0.4275,184
CinC,within_stage,w_norm_out,0.102335,0.166875,0.6425,184
CinC,within_stage,w_rms,-0.0299832,0.68619,0.46,184
CinC,within_stage,w_kurtosis,-0.117934,0.110846,0.41,184
CinC,within_stage,w_participation,0.15374,0.0371948,0.5775,184
CinC,within_stage,w_max_over_rms,-0.0498577,0.501513,0.4375,184
CinC,within_stage,ov_spectral,0.0763974,0.302658,0.715,184
