scope,property,mean_rho,min_rho,max_rho,mean_auc,datasets,same_sign,consistent
raw,general_share,0.0782956,-0.144031,0.260569,0.591429,7,5,False
raw,medical_share,0.0740161,-0.13586,0.264018,0.585714,7,5,False
raw,contrib_ratio,-0.0521645,-0.248145,0.122741,0.48,7,4,False
raw,medical_contrib_rms,0.0435945,-0.0562571,0.190812,0.521071,7,5,False
raw,w_rms,0.036688,-0.132435,0.226709,0.546071,7,4,False
raw,w_norm_out,-0.0341141,-0.210676,0.170301,0.449286,7,5,False
raw,ov_spectral,-0.0339978,-0.174475,0.121789,0.479286,7,5,False
raw,w_norm,-0.0295242,-0.18479,0.171116,0.451429,7,5,False
raw,w_participation,-0.028643,-0.16652,0.124625,0.461429,7,5,False
raw,w_kurtosis,0.0285661,-0.124564,0.166517,0.538571,7,5,False
raw,general_contrib_rms,0.0285227,-0.0207135,0.101173,0.505714,7,4,False
raw,w_norm_qkv,-0.0258936,-0.17144,0.176286,0.448571,7,5,False
raw,w_max_over_rms,-0.0209232,-0.101127,0.127969,0.477857,7,5,False
raw,generality,-0.00596905,-0.100831,0.0614728,0.525714,7,4,False
within_stage,general_share,0.0654081,-0.0619648,0.153573,0.537857,7,5,False
within_stage,medical_share,0.0586836,-0.0434504,0.193758,0.543571,7,5,False
within_stage,medical_contrib_rms,0.0516755,-0.0625485,0.139406,0.529643,7,4,False
within_stage,general_contrib_rms,0.0461916,-0.0901457,0.122561,0.539286,7,6,False
within_stage,contrib_ratio,-0.0365323,-0.162538,0.0279383,0.492857,7,5,False
within_stage,w_norm_out,0.0230026,-0.117573,0.102335,0.506429,7,5,False
within_stage,w_max_over_rms,-0.0160129,-0.0687807,0.0916098,0.476786,7,5,False
within_stage,ov_spectral,0.0139242,-0.0782955,0.114547,0.543571,7,4,False
within_stage,generality,-0.00903268,-0.0853892,0.0505001,0.517857,7,4,False
within_stage,w_norm_qkv,0.00505638,-0.117059,0.150181,0.498571,7,4,False
within_stage,w_norm,0.00489401,-0.119194,0.155249,0.498929,7,4,False
within_stage,w_rms,0.00487241,-0.119125,0.155207,0.498929,7,4,False
within_stage,w_kurtosis,-0.00454365,-0.117934,0.195264,0.506429,7,5,False
within_stage,w_participation,-0.00275262,-0.182064,0.15374,0.484643,7,4,False
