property,group,n,median_z,null_median_z,null_p05,null_p95,cliffs_delta,p_permutation,p_bonferroni,significant
medical_share,either,42,0.354779,-0.282352,-0.440177,0.0120582,0.292479,0.00019998,0.00839916,True
general_share,either,42,0.204892,-0.220555,-0.375005,-0.0370355,0.235152,0.00089991,0.0377962,True
medical_contrib_rms,either,42,0.426617,-0.159459,-0.45454,0.197892,0.29825,0.0009999,0.0419958,True
general_contrib_rms,either,42,0.201558,-0.139432,-0.345096,0.070319,0.2603,0.00219978,0.0923908,False
medical_share,hurts,21,0.381712,-0.283952,-0.479228,0.172671,0.329435,0.00269973,0.113389,False
generality,either,42,-0.319208,0.0693445,-0.22561,0.22683,-0.128793,0.00349965,0.146985,False
general_share,helps,21,0.327878,-0.221299,-0.430574,0.11573,0.234732,0.0039996,0.167983,False
medical_contrib_rms,hurts,21,0.472701,-0.160474,-0.558067,0.350926,0.427196,0.00559944,0.235176,False
ov_spectral,either,42,-0.0930352,-0.319779,-0.375589,-0.188529,0.200375,0.00619938,0.260374,False
w_kurtosis,either,42,-0.432153,-0.282418,-0.294162,-0.209312,-0.210005,0.00919908,0.386361,False
w_norm_qkv,either,42,-0.30198,0.0231308,-0.157946,0.290826,-0.228732,0.0111989,0.470353,False
w_norm,helps,21,-0.405414,0.0374222,-0.300796,0.39533,-0.251701,0.0116988,0.491351,False
w_rms,helps,21,-0.405418,0.0414625,-0.296462,0.407414,-0.251701,0.0129987,0.545945,False
medical_contrib_rms,helps,21,0.380533,-0.160474,-0.559718,0.344077,0.169304,0.0155984,0.655134,False
w_norm_qkv,helps,21,-0.411326,0.0289828,-0.271801,0.426702,-0.270198,0.020498,0.860914,False
general_contrib_rms,hurts,21,0.22141,-0.141572,-0.429715,0.172114,0.318276,0.0205979,0.865113,False
contrib_ratio,hurts,21,-0.708067,-0.0796102,-0.60056,0.504911,-0.259956,0.0250975,1,False
general_contrib_rms,helps,21,0.188985,-0.141572,-0.429715,0.172114,0.202324,0.0286971,1,False
w_norm,either,42,-0.252183,0.0310886,-0.177627,0.308478,-0.191279,0.0322968,1,False
w_rms,either,42,-0.252145,0.0290902,-0.170727,0.314521,-0.191413,0.0339966,1,False
generality,hurts,21,-0.318111,0.0680461,-0.329431,0.317747,-0.114958,0.0341966,1,False
generality,helps,21,-0.320305,0.0680461,-0.334863,0.31742,-0.142628,0.0345965,1,False
general_share,hurts,21,0.0832386,-0.221299,-0.430574,0.11573,0.235573,0.0384962,1,False
w_norm_out,either,42,0.240329,-0.050362,-0.361564,0.1928,0.233547,0.0416958,1,False
ov_spectral,helps,21,-0.0799084,-0.321329,-0.399152,-0.038428,0.158603,0.0421958,1,False
medical_share,helps,21,0.10734,-0.286332,-0.48091,0.17326,0.255522,0.0438956,1,False
w_kurtosis,hurts,21,-0.432153,-0.281567,-0.377488,-0.0667649,-0.283651,0.0578942,1,False
contrib_ratio,either,42,-0.470497,-0.0831851,-0.459482,0.34404,-0.155163,0.0593941,1,False
w_kurtosis,helps,21,-0.432153,-0.283269,-0.377488,-0.0667649,-0.13636,0.060494,1,False
w_norm_out,hurts,21,0.301808,-0.0561134,-0.450409,0.269578,0.275319,0.0636936,1,False
ov_spectral,hurts,21,-0.206109,-0.321329,-0.399152,-0.038428,0.242146,0.109489,1,False
w_participation,either,42,0.497038,0.366766,0.0825625,0.486423,0.151418,0.124588,1,False
w_norm_out,helps,21,0.226019,-0.050362,-0.450409,0.269578,0.191776,0.180982,1,False
w_max_over_rms,either,42,-0.519986,-0.347406,-0.552325,-0.0865076,-0.0920278,0.19778,1,False
w_participation,hurts,21,0.516437,0.373415,-0.197145,0.51638,0.195521,0.214779,1,False
contrib_ratio,helps,21,-0.417556,-0.0796102,-0.595586,0.527737,-0.0503707,0.247175,1,False
w_max_over_rms,helps,21,-0.53203,-0.352816,-0.582154,0.11966,-0.154017,0.329967,1,False
w_max_over_rms,hurts,21,-0.507943,-0.352816,-0.582154,0.11966,-0.030039,0.454755,1,False
w_participation,helps,21,0.317979,0.373415,-0.197145,0.515576,0.107315,0.579642,1,False
w_norm,hurts,21,-0.0732917,0.0414589,-0.296392,0.407455,-0.130857,0.586841,1,False
w_norm_qkv,hurts,21,-0.0677527,0.0179091,-0.271801,0.426702,-0.187266,0.607639,1,False
w_rms,hurts,21,-0.0732739,0.0374544,-0.300788,0.393778,-0.131124,0.611639,1,False
