dataset,side,forward_mean,reverse_mean,random_floor,reverse_above_floor,survival_fraction,p_permutation
BMD,helps,0.025651,-0.006751,-0.005508,-0.001243,-0.048458,0.718228
BMD,hurts,-0.039366,-0.010942,-0.005499,-0.005443,0.138258,0.011999
CinC,helps,0.008457,0.001548,0.001233,0.000315,0.037251,0.303370
CinC,hurts,-0.013398,0.002259,0.001221,0.001038,-0.077479,0.935506
CirCor,helps,0.010761,-0.000434,-0.003309,0.002875,0.267212,0.045995
CirCor,hurts,-0.023574,-0.008158,-0.003266,-0.004893,0.207537,0.003100
ICBHI,helps,0.071898,0.003423,-0.004358,0.007781,0.108223,0.060394
ICBHI,hurts,-0.015659,0.002911,-0.004283,0.007194,-0.459424,0.922808
KAUH,helps,0.038426,0.001362,-0.000769,0.002130,0.055440,0.284272
KAUH,hurts,-0.017778,-0.008011,-0.000772,-0.007239,0.407181,0.039496
SPRSound,helps,0.008479,0.001061,0.001078,-0.000017,-0.001986,0.525647
SPRSound,hurts,-0.008252,-0.004880,0.001100,-0.005980,0.724704,0.000400
ZCHSound,helps,0.018874,-0.001664,-0.001250,-0.000414,-0.021932,0.637336
ZCHSound,hurts,-0.005363,-0.001191,-0.001253,0.000062,-0.011481,0.545745
