pruning_id,BMD,CinC,CirCor,ICBHI,KAUH,SPRSound,ZCHSound
s0.b0.h0,-0.058268,0.005752,-0.023651,0.100033,0.038519,-0.003540,0.023446
s0.b0.h1,0.006076,0.003438,-0.015408,0.089609,0.031296,-0.002318,-0.002090
s0.b0.h2,-0.006728,-0.010833,-0.014737,0.028281,0.008333,0.008868,0.010485
s0.b0.h3,0.009765,-0.001350,-0.002738,-0.000969,0.003889,0.006933,0.006376
s0.b1.h0,0.026475,0.001759,0.018959,0.002747,-0.000926,-0.005953,0.003865
s0.b1.h1,0.073785,-0.003022,0.007037,-0.025452,-0.010185,-0.015419,0.014455
s0.b1.h2,0.012804,-0.000876,-0.008278,-0.025210,0.005556,-0.004197,0.022302
s0.b1.h3,0.016927,0.005920,0.013772,0.005818,0.023704,-0.008200,0.008699
s1.b0.h0,0.003038,0.000635,-0.019364,0.003394,0.002593,-0.006591,0.001612
s1.b0.h1,-0.008681,-0.005854,-0.010772,0.031594,0.037408,-0.000706,0.014479
s1.b0.h2,-0.018446,0.010607,-0.017854,-0.021251,-0.008704,0.002476,0.016020
s1.b0.h3,0.001410,-0.007088,-0.010116,0.034664,-0.005185,-0.013813,0.007321
s1.b0.h4,-0.004992,-0.007927,-0.013625,0.000970,0.032222,0.000278,0.006387
s1.b0.h5,-0.051433,-0.007416,-0.016752,0.039351,-0.012592,0.002849,0.002826
s1.b0.h6,-0.019097,-0.006701,0.000527,0.003232,-0.017778,-0.003831,0.001822
s1.b0.h7,-0.006294,-0.005825,-0.023930,0.034422,-0.024815,-0.009385,0.012716
s1.b1.h0,-0.003147,0.002073,-0.012822,0.056076,0.032778,0.004144,0.004367
s1.b1.h1,0.008789,0.002059,-0.002847,0.001455,0.012408,-0.008291,0.005617
s1.b1.h2,0.003906,-0.001460,-0.005306,0.027069,0.022408,-0.004640,0.004426
s1.b1.h3,-0.023872,-0.001825,-0.015267,-0.035391,0.007408,0.000987,0.018028
s1.b1.h4,0.010850,0.005599,-0.003721,0.027958,-0.008889,0.007349,0.000339
