a,b,rho,same_family
BMD,CinC,-0.0339,True
BMD,CirCor,0.1506,True
BMD,ICBHI,-0.1217,False
BMD,KAUH,-0.0318,False
BMD,SPRSound,-0.0628,False
BMD,ZCHSound,-0.0724,True
CinC,CirCor,0.0429,True
CinC,ICBHI,-0.0261,False
CinC,KAUH,-0.0914,False
CinC,SPRSound,-0.0773,False
CinC,ZCHSound,-0.0072,True
CirCor,ICBHI,-0.0573,False
CirCor,KAUH,-0.0877,False
CirCor,SPRSound,0.0697,False
CirCor,ZCHSound,-0.0255,True
ICBHI,KAUH,0.1334,True
ICBHI,SPRSound,-0.0897,True
ICBHI,ZCHSound,0.1252,False
KAUH,SPRSound,0.0429,True
KAUH,ZCHSound,0.1507,False
SPRSound,ZCHSound,-0.0658,False
