selected_on,evaluated_on,mean_effect,same_family
BMD,CinC,-0.002982,True
BMD,CirCor,-0.002929,True
BMD,ICBHI,0.006593,False
BMD,KAUH,0.009259,False
BMD,SPRSound,0.000764,False
BMD,ZCHSound,0.007176,True
CinC,BMD,-0.011882,True
CinC,CirCor,-0.003826,True
CinC,ICBHI,0.006868,False
CinC,KAUH,0.003352,False
CinC,SPRSound,0.003784,False
CinC,ZCHSound,0.004490,True
CirCor,BMD,0.006760,True
CirCor,CinC,-0.003307,True
CirCor,ICBHI,0.010464,False
CirCor,KAUH,0.005185,False
CirCor,SPRSound,0.000480,False
CirCor,ZCHSound,0.008983,True
ICBHI,BMD,-0.007921,False
ICBHI,CinC,-0.002847,False
ICBHI,CirCor,-0.005866,False
ICBHI,KAUH,0.017593,True
ICBHI,SPRSound,0.000801,True
ICBHI,ZCHSound,0.008481,False
KAUH,BMD,-0.009831,False
KAUH,CinC,-0.003410,False
KAUH,CirCor,-0.009141,False
KAUH,ICBHI,0.040611,True
KAUH,SPRSound,0.001158,True
KAUH,ZCHSound,0.007288,False
SPRSound,BMD,-0.003028,False
SPRSound,CinC,-0.003320,False
SPRSound,CirCor,-0.004732,False
SPRSound,ICBHI,0.017340,True
SPRSound,KAUH,0.003297,True
SPRSound,ZCHSound,0.004436,False
ZCHSound,BMD,-0.002875,True
ZCHSound,CinC,-0.001973,True
ZCHSound,CirCor,-0.007389,True
ZCHSound,ICBHI,0.014229,False
ZCHSound,KAUH,0.013945,False
ZCHSound,SPRSound,-0.000100,False
